Entity,Code,Year,Event,Value
World,OWID_WRL,2010,Severe bleaching events (>30% bleached),37
World,OWID_WRL,2011,Moderate bleaching events (1-30% bleached),11
World,OWID_WRL,2011,Severe bleaching events (>30% bleached),3
World,OWID_WRL,2012,Moderate bleaching events (1-30% bleached),6
World,OWID_WRL,2012,Severe bleaching events (>30% bleached),1
World,OWID_WRL,2013,Moderate bleaching events (1-30% bleached),5
World,OWID_WRL,2013,Severe bleaching events (>30% bleached),3
World,OWID_WRL,2014,Moderate bleaching events (1-30% bleached),9
World,OWID_WRL,2014,Severe bleaching events (>30% bleached),5
World,OWID_WRL,2015,Moderate bleaching events (1-30% bleached),14
World,OWID_WRL,2015,Severe bleaching events (>30% bleached),16
World,OWID_WRL,2016,Moderate bleaching events (1-30% bleached),11
World,OWID_WRL,2016,Severe bleaching events (>30% bleached),43
